"asset_id","label","image_file","prompt_file","source_image_sha256","public_image_sha256","source_prompt_sha256","package_prompt_sha256","visibility","selection_seed","pixel_change","prompt_change"
"A136","上衣+短裙","images/A136-上衣+短裙.png","prompts/A136-上衣+短裙.txt","D75B60A2CF2199228FF80C41DEEE51337D38FCFAD633393F553DECADD8A8EEAC","D75B60A2CF2199228FF80C41DEEE51337D38FCFAD633393F553DECADD8A8EEAC","89A2FE68F48A0D124A03DF7C92F577F0F53C004D4C6F918EF520ED8D84BA0F42","E52AEEB50DE60FDA135CA91E0BBA1BBA01477AF8833101A417B036C0766580EE","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A142","上衣+长裤","images/A142-上衣+长裤.png","prompts/A142-上衣+长裤.txt","2F742C6EA11112214DEA272EF9A56F7DB1285728EB40135434D8FE3F3A1D111D","2F742C6EA11112214DEA272EF9A56F7DB1285728EB40135434D8FE3F3A1D111D","1D6178AA93AF18DA5528C48F29789ED0C6FE12323EFD22DFA10C2725D506CD21","BBF121B0EB4B9A41BA6F8754A18527C734A41E47E53B5D47460190BA8037B250","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A089","上衣+短裤","images/A089-上衣+短裤.png","prompts/A089-上衣+短裤.txt","F92E50881797040FA62D692AE099A6C5CFDD5B748A47165FD5BAED8D247C69DD","F92E50881797040FA62D692AE099A6C5CFDD5B748A47165FD5BAED8D247C69DD","7AE82F98D1920519ECA7D61B90A86ABB53B21552405319922B576383A9397D28","F166AAAC7047453E233D7FEC3210A4EC5C64507068891D3C371288FDED2BB67E","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A196","时装穿搭","images/A196-时装穿搭.png","prompts/A196-时装穿搭.txt","05B9D294FFEAFC11159A69DEF3806C885FA5D60DFE8CF7DC73DA4B75035276D4","05B9D294FFEAFC11159A69DEF3806C885FA5D60DFE8CF7DC73DA4B75035276D4","8C308C78C5CC53F1B591184E55CB94C09418137C268D68CE0ECAF4DF554FAFC7","4CA92FD8F2D535776660A0C91B8AFFBAFAFDB82A3BD5C6C51978D865D5DC0F0D","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A158","时装穿搭","images/A158-时装穿搭.png","prompts/A158-时装穿搭.txt","01FCA8120BBDAD0334FE1FBF45381B793010C0E7DBA2A6667C675E3C9DD92C1C","01FCA8120BBDAD0334FE1FBF45381B793010C0E7DBA2A6667C675E3C9DD92C1C","6FA7C24C2FA320B0725A2F383F350A7092BD1BB3308A3D23FC94A0C328FBCB8E","418DDFE3E30ABBE8B5CA7C5C7327D80838B983CE8F5CD1150D49346C3BBC10CF","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A079","衬衫+下装","images/A079-衬衫+下装.png","prompts/A079-衬衫+下装.txt","70B5BEC073C63658C3AD0661AA1EB5FDF4C90848C7AE5D5BB96B6C94A9C2EBCB","70B5BEC073C63658C3AD0661AA1EB5FDF4C90848C7AE5D5BB96B6C94A9C2EBCB","4B009A5BA8CFADF86162D13D8EEEEE826FE59D6ACEF69B141ECA011AE855131A","41D51E16DBC6CFE7494CC6DAEDA28A9F7B27CC7CD878C6637226534F3218075B","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A173","上衣+短裤","images/A173-上衣+短裤.png","prompts/A173-上衣+短裤.txt","D26A09958403D0DF3F805C6D27FBE37792D1BE1DA352B6C311C56B943077C973","D26A09958403D0DF3F805C6D27FBE37792D1BE1DA352B6C311C56B943077C973","709D79FC0686B8528A95B1D68A99F2F1F51F13AB11392EA01C0B51DD6205EFA0","122DF88FD30C13DFBDC00CDB3BB70BD9FD67A41808AA7BD20419F5930E744824","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A043","衬衫+下装","images/A043-衬衫+下装.png","prompts/A043-衬衫+下装.txt","7D4C041C98B814C2B382E50CD02D2764CB91D4E756ABD64BB67CAE8F405B6BF3","7D4C041C98B814C2B382E50CD02D2764CB91D4E756ABD64BB67CAE8F405B6BF3","DC20D5EC40044B4225F62399AEF4E4D6CE56D4D17DACB9015AFD9C6453260C3B","4651BB41A91697BE6CF50FA1847DDFD4FD5DF5C5E2362949E462A651618196E0","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A021","上衣+长裤","images/A021-上衣+长裤.png","prompts/A021-上衣+长裤.txt","98D0ACB75389177C61894DC0B26AEB65D4036D29BFEFB280B104E1448502A48F","98D0ACB75389177C61894DC0B26AEB65D4036D29BFEFB280B104E1448502A48F","6CD1AF706DFDBF9AC29CF9C3143632876581DDD6124A67ABB0E59F97245F091D","6210F3FCCD2BF9C25EA5AFE91CEF6080A8C2C314003CE38878AE6F2D7DF705BF","public_candidate","20260723","no","source_and_sharing_notice_appended"
"A138","时装穿搭","images/A138-时装穿搭.png","prompts/A138-时装穿搭.txt","47852F62FFED41F1BE11213CAA21765121643973A11F5200E9E2F120D2501DAA","47852F62FFED41F1BE11213CAA21765121643973A11F5200E9E2F120D2501DAA","EB216CAB1B84C987CB16FF550ADB69547C601ECE0D693EFBB376830203A47A53","447291122503DDE252CF5BF2DE6EEACED4079D053EA19EDC68F993A9FE530493","public_candidate","20260723","no","source_and_sharing_notice_appended"
